year,avg_time
2019,90.63
2016,94.35
2017,94.62
2014,99.54
2015,99.02
2009,108.45
2013,98.07
2012,100.06
2010,103.4
2018,95.78
2011,102.78
2004,119.25
2000,112.21
1983,113.89
1982,114.82
2006,111.58
2005,112.08
2002,120.66
1997,116.67
2008,106.45
2007,110.63
2003,116.83
1981,109.67
1991,84.86
1994,124.92
1988,101.18
1976,119.86
1973,108.67
1974,110.14
1989,113.5
1986,107.75
1984,115.12
1978,100.43
1998,101.96
1979,115.0
1960,143.5
1959,143.0
2001,116.2
1995,116.93
1992,103.71
1990,101.08
1975,110.0
1985,109.14
1980,122.43
1970,66.0
1996,119.86
1967,91.5
1987,89.8
1968,149.67
1999,122.0
1993,116.69
1958,111.5
1965,151.5
1956,98.0
1962,167.0
1955,111.0
1972,110.33
1977,132.25
1945,51.33
1946,76.0
1942,35.0
1944,52.0
1947,42.0
1943,62.67
1969,140.0
1954,120.0
1966,116.0
1971,132.0
2020,103.5
1964,228.0
