genre,titles_per_genre,percent
Children & Family Movies,378,0.02765179224579371
Comedies,1113,0.08141916605705925
Stand-Up Comedy,281,0.02055596196049744
Kids' TV,328,0.02399414776883687
Crime TV Shows,363,0.026554498902706655
International TV Shows,1001,0.07322604242867593
Spanish-Language TV Shows,117,0.008558888076079005
International Movies,1927,0.1409656181419166
Sci-Fi & Fantasy,193,0.014118507681053402
Thrillers,392,0.028675932699341624
Docuseries,279,0.020409656181419166
Science & Nature TV,67,0.0049012435991221655
Action & Adventure,597,0.043672275054864665
Dramas,1623,0.11872713972201902
Cult Movies,55,0.004023408924652524
Independent Movies,552,0.04038039502560351
Romantic Movies,376,0.027505486466715436
Documentaries,668,0.04886613021214338
Horror Movies,262,0.01916605705925384
Romantic TV Shows,278,0.02033650329188003
TV Comedies,436,0.031894659839063644
TV Dramas,599,0.04381858083394294
TV Thrillers,44,0.003218727139722019
TV Mysteries,69,0.005047549378200439
British TV Shows,210,0.015362106803218726
Music & Musicals,243,0.01777615215801024
Reality TV,153,0.011192392099487929
TV Action & Adventure,126,0.009217264081931235
Anime Features,45,0.0032918800292611556
Teen TV Shows,44,0.003218727139722019
Faith & Spirituality,47,0.0034381858083394295
Korean TV Shows,132,0.009656181419166058
Anime Series,117,0.008558888076079005
LGBTQ Movies,60,0.0043891733723482075
TV Horror,54,0.003950256035113387
Movies,56,0.004096561814191661
Stand-Up Comedy & Talk Shows,42,0.0030724213606437454
TV Sci-Fi & Fantasy,68,0.004974396488661302
Classic Movies,84,0.006144842721287491
Sports Movies,157,0.011485003657644478
TV Shows,10,0.000731528895391368
Classic & Cult TV,24,0.0017556693489392831
